Gene	Transcript	Entire Length	Entire disorder value	Non-overlapped regions length	Non-overlapped regions disorder value	Overlapping regions length	Overlapping regions disorder value
AMDHD2	ENST00000413459	594	22	452	21	142	1
CEMP1	ENST00000567119	247	102	105	51	142	51
LBHD1	ENST00000431002	289	185	248	144	41	41
C11ORF98	ENST00000524958	123	123	82	82	41	41
FAM120A	ENST00000277165	1118	123	1037	123	81	0
FAM120AOS	ENST00000375412	256	88	176	71	80	17
DUSP28	ENST00000405954	176	35	104	31	72	4
ANKMY1	ENST00000403283	843	119	770	74	73	45
RANBP1	ENST00000435265	73	73	3	3	70	70
TRMT2A	ENST00000252136	625	80	556	75	69	5
DDX27	ENST00000618172	765	199	730	199	35	0
ZNFX1	ENST00000371754	1270	37	1235	37	35	0
UBE2L3	ENST00000458578	212	23	145	8	67	15
RIMBP3C	ENST00000433039	1639	16	1572	16	67	0
THRA	ENST00000264637	490	153	424	106	66	47
NR1D1	ENST00000246672	614	127	549	127	65	0
RNF34	ENST00000392464	507	110	447	110	60	0
KDM2B	ENST00000542973	704	114	645	114	59	0
PALD1	ENST00000697571	865	42	806	39	59	3
PRF1	ENST00000373209	555	20	496	19	59	1
AGPS	ENST00000642466	676	62	619	59	57	3
TTC30B	ENST00000408939	665	18	607	18	58	0
MRPL34	ENST00000595444	184	63	128	39	56	24
ABHD8	ENST00000247706	439	102	383	88	56	14
NME4	ENST00000444498	233	36	207	15	26	21
DECR2	ENST00000219481	292	13	266	4	26	9
CCNI2	ENST00000614847	385	116	330	116	55	0
SEPTIN8	ENST00000378719	483	64	429	38	54	26
FBXO16	ENST00000521548	349	128	301	113	48	15
ZNF395	ENST00000344423	513	268	464	233	49	35
KHNYN	ENST00000251343	678	41	630	37	48	4
CBLN3	ENST00000555436	154	4	105	0	49	4
ZNF397	ENST00000355632	245	83	199	75	46	8
ZSCAN30	ENST00000610712	307	10	260	0	47	10
TRAPPC4	ENST00000533058	257	0	212	0	45	0
SLC37A4	ENST00000330775	429	19	384	14	45	5
TMEM213	ENST00000413208	105	25	64	24	41	1
KIAA1549	ENST00000440172	1934	165	1893	151	41	14
UPK3BL2	ENST00000644544	263	18	223	18	40	0
POLR2J3	ENST00000486319	116	34	76	12	40	22
SERF2	ENST00000448830	108	62	69	40	39	22
SERINC4	ENST00000299969	426	60	387	60	39	0
LEPROTL1	ENST00000442880	144	17	106	12	38	5
MBOAT4	ENST00000320542	435	8	397	8	38	0
CCDC24	ENST00000372318	307	65	269	65	38	0
SLC6A9	ENST00000372307	574	71	536	62	38	9
FADS2	ENST00000522056	413	16	375	10	38	6
FADS1	ENST00000350997	501	80	464	80	37	0
FAM187A	ENST00000331733	413	0	376	0	37	0
GFAP	ENST00000639277	505	43	468	43	37	0
TBCE	ENST00000647428	414	6	389	6	25	0
TBCE	ENST00000645964	160	27	135	25	25	2
ZNF575	ENST00000458714	344	63	307	63	37	0
ETHE1	ENST00000292147	254	11	217	11	37	0
NELFCD	ENST00000602795	599	41	562	41	37	0
CTSZ	ENST00000681175	319	4	282	4	37	0
GOLGA7B	ENST00000370602	167	37	131	9	36	28
CRTAC1	ENST00000370597	661	22	624	5	37	17
GNB3	ENST00000229264	340	7	306	7	34	0
CDCA3	ENST00000422785	219	219	184	184	35	35
DUOXA2	ENST00000323030	320	6	290	6	30	0
DUOXA1	ENST00000613425	438	32	407	20	31	12
ZBTB8A	ENST00000373510	441	31	409	31	32	0
ZBTB8OS	ENST00000341885	64	43	33	33	31	10
ATP2C1	ENST00000359644	949	9	918	9	31	0
ASTE1	ENST00000264992	679	38	647	38	32	0
CISD2	ENST00000273986	135	22	103	5	32	17
SLC9B1	ENST00000394789	475	54	444	50	31	4
TTC7A	ENST00000319190	858	27	828	26	30	1
MCFD2	ENST00000444761	127	85	97	57	30	28
TSFM	ENST00000550559	230	11	201	11	29	0
AVIL	ENST00000549994	819	2	789	2	30	0
MYOCOS	ENST00000637303	107	107	78	78	29	29
MYOC	ENST00000037502	504	37	475	37	29	0
COQ6	ENST00000394026	443	11	414	0	29	11
FAM161B	ENST00000651776	710	90	681	90	29	0
C22ORF39	ENST00000509549	92	23	71	17	21	6
HIRA	ENST00000263208	1017	121	997	121	20	0
MRPS22	ENST00000310776	359	30	331	26	28	4
COPB2	ENST00000503326	904	78	876	56	28	22
ZNF587	ENST00000339656	575	1	548	1	27	0
ZNF814	ENST00000595295	39	39	12	12	27	27
RANGRF	ENST00000226105	186	38	160	26	26	12
SLC25A35	ENST00000380067	295	4	268	4	27	0
OGG1	ENST00000302036	424	58	397	54	27	4
CAMK1	ENST00000256460	370	43	343	43	27	0
CHRNA5	ENST00000299565	468	26	442	26	26	0
CHRNA3	ENST00000348639	489	50	463	24	26	26
RABEP1	ENST00000537505	862	7	835	7	27	0
NUP88	ENST00000700530	657	7	631	7	26	0
LRTOMT	ENST00000544409	187	50	162	31	25	19
TOMT	ENST00000541899	258	1	233	1	25	0
SNRPF	ENST00000553192	67	8	43	7	24	1
CCDC38	ENST00000344280	563	66	538	66	25	0
RAB3GAP1	ENST00000264158	981	43	957	43	24	0
ZRANB3	ENST00000619650	598	176	574	176	24	0
C2	ENST00000452323	538	29	514	29	24	0
ZBTB12	ENST00000375527	459	64	436	64	23	0
MTHFD1	ENST00000557370	922	0	898	0	24	0
ZBTB25	ENST00000555220	86	6	63	6	23	0
UTP23	ENST00000517820	105	14	82	14	23	0
RAD21	ENST00000297338	631	251	607	228	24	23
GET1	ENST00000415847	139	46	117	46	22	0
LCA5L	ENST00000380671	670	68	647	64	23	4
PRSS23	ENST00000533902	91	91	69	69	22	22
FZD4	ENST00000531380	537	64	514	64	23	0
OPRM1	ENST00000337049	418	130	396	108	22	22
IPCEF1	ENST00000265198	437	243	415	236	22	7
RINT1	ENST00000257700	792	36	771	36	21	0
EFCAB10	ENST00000485614	149	14	128	11	21	3
WFDC13	ENST00000305479	93	13	72	13	21	0
WFDC10B	ENST00000335769	89	7	68	7	21	0
SEMA4G	ENST00000210633	843	103	823	90	20	13
MRPL43	ENST00000299179	202	71	181	67	21	4
KRT18	ENST00000388835	430	3	410	3	20	0
