Gene	Transcript	Entire Length	Entire SNPs count	Synonymous SNPs count	pos1	pos2	pos3	Non-overlapped regions length	Non-overlapped regions SNPs count	Synonymous SNPs count	pos1	pos2	pos3	Overlapping regions length	Overlapping regions SNPs count	Synonymous SNPs count	pos1	pos2	pos3
AMDHD2	ENST00000413459	1785	13	5	5	1	7	1355	8	5	1	0	7	430	5	0	4	1	0
CEMP1	ENST00000567119	744	10	1	4	5	1	314	5	1	3	1	1	430	5	0	1	4	0
LBHD1	ENST00000431002	870	7	1	4	1	2	745	7	1	4	1	2	125	0	0	0	0	0
C11ORF98	ENST00000524958	372	0	0	0	0	0	247	0	0	0	0	0	125	0	0	0	0	0
FAM120A	ENST00000277165	3357	14	12	1	0	13	3114	14	12	1	0	13	243	0	0	0	0	0
FAM120AOS	ENST00000375412	771	8	2	2	3	3	528	8	2	2	3	3	243	0	0	0	0	0
DUSP28	ENST00000405954	531	9	6	1	2	6	311	4	3	0	1	3	220	5	3	1	1	3
ANKMY1	ENST00000403283	2532	37	16	6	12	19	2312	32	14	5	11	16	220	5	2	1	1	3
RANBP1	ENST00000435265	222	2	0	1	1	0	11	0	0	0	0	0	211	2	0	1	1	0
TRMT2A	ENST00000252136	1878	18	8	7	2	9	1667	16	8	6	1	9	211	2	0	1	1	0
DDX27	ENST00000618172	2298	24	11	6	6	12	2191	22	9	6	6	10	107	2	2	0	0	2
ZNFX1	ENST00000371754	3813	29	11	5	7	17	3706	27	10	5	7	15	107	2	1	0	0	2
UBE2L3	ENST00000458578	639	2	2	0	0	2	438	2	2	0	0	2	201	0	0	0	0	0
RIMBP3C	ENST00000433039	4920	0	0	0	0	0	4719	0	0	0	0	0	201	0	0	0	0	0
THRA	ENST00000264637	1473	5	4	1	0	4	1273	5	4	1	0	4	200	0	0	0	0	0
NR1D1	ENST00000246672	1845	12	5	5	2	5	1645	12	5	5	2	5	200	0	0	0	0	0
RNF34	ENST00000392464	1524	5	2	2	1	2	1342	5	2	2	1	2	182	0	0	0	0	0
KDM2B	ENST00000542973	2115	17	13	2	1	14	1933	17	13	2	1	14	182	0	0	0	0	0
PALD1	ENST00000697571	2598	49	28	13	9	27	2418	44	23	12	9	23	180	5	5	1	0	4
PRF1	ENST00000373209	1668	40	24	9	6	25	1488	35	20	9	5	21	180	5	4	0	1	4
AGPS	ENST00000642466	2031	10	8	0	2	8	1855	10	8	0	2	8	176	0	0	0	0	0
TTC30B	ENST00000408939	1998	26	7	6	10	10	1822	26	7	6	10	10	176	0	0	0	0	0
MRPL34	ENST00000595444	555	3	1	0	2	1	384	1	1	0	0	1	171	2	0	0	2	0
ABHD8	ENST00000247706	1320	17	10	5	2	10	1149	15	10	3	2	10	171	2	0	2	0	0
NME4	ENST00000444498	702	4	3	0	1	3	622	4	3	0	1	3	80	0	0	0	0	0
DECR2	ENST00000219481	879	14	5	7	2	5	799	14	5	7	2	5	80	0	0	0	0	0
CCNI2	ENST00000614847	1158	21	10	4	4	13	992	18	7	4	4	10	166	3	3	0	0	3
SEPTIN8	ENST00000378719	1452	14	11	0	2	12	1286	11	8	0	2	9	166	3	3	0	0	3
FBXO16	ENST00000521548	1050	14	3	3	7	4	901	13	3	2	7	4	149	1	0	1	0	0
ZNF395	ENST00000344423	1542	26	18	5	0	17	1393	25	17	5	0	16	149	1	1	0	0	1
KHNYN	ENST00000251343	2037	9	6	0	3	6	1890	9	6	0	3	6	147	0	0	0	0	0
CBLN3	ENST00000555436	465	1	1	0	0	1	318	1	1	0	0	1	147	0	0	0	0	0
ZNF397	ENST00000355632	738	8	5	1	2	5	596	4	3	1	0	3	142	4	2	0	2	2
ZSCAN30	ENST00000610712	924	14	7	3	5	6	782	10	4	1	5	4	142	4	3	2	0	2
TRAPPC4	ENST00000533058	774	9	5	0	3	6	634	5	4	0	0	5	140	4	1	0	3	1
