Gene1	Gene2	GC content
AMDHD2	CEMP1	0.6
LBHD1	C11ORF98	0.632
FAM120A	FAM120AOS	0.6666666666666666
DUSP28	ANKMY1	0.7636363636363637
RANBP1	TRMT2A	0.6540284360189573
DDX27	ZNFX1	0.4672897196261682
UBE2L3	RIMBP3C	0.7064676616915423
THRA	NR1D1	0.63
RNF34	KDM2B	0.46153846153846156
PALD1	PRF1	0.6555555555555556
AGPS	TTC30B	0.38636363636363635
MRPL34	ABHD8	0.6140350877192983
NME4	DECR2	0.7375
CCNI2	SEPTIN8	0.5903614457831325
FBXO16	ZNF395	0.6912751677852349
KHNYN	CBLN3	0.6598639455782312
ZNF397	ZSCAN30	0.47183098591549294
TRAPPC4	SLC37A4	0.5642857142857143
TMEM213	KIAA1549	0.6062992125984252
UPK3BL2	POLR2J3	0.6048387096774194
SERF2	SERINC4	0.628099173553719
LEPROTL1	MBOAT4	0.6173913043478261
CCDC24	SLC6A9	0.6842105263157895
FADS2	FADS1	0.6578947368421053
FAM187A	GFAP	0.6283185840707964
TBCE	TBCE	0.5454545454545454
ZNF575	ETHE1	0.6428571428571429
NELFCD	CTSZ	0.5267857142857143
GOLGA7B	CRTAC1	0.6936936936936937
GNB3	CDCA3	0.5794392523364486
DUOXA2	DUOXA1	0.6382978723404256
ZBTB8A	ZBTB8OS	0.42857142857142855
ATP2C1	ASTE1	0.5416666666666666
CISD2	SLC9B1	0.4375
TTC7A	MCFD2	0.7065217391304348
TSFM	AVIL	0.5934065934065934
MYOCOS	MYOC	0.4888888888888889
COQ6	FAM161B	0.6590909090909091
C22ORF39	HIRA	0.49206349206349204
MRPS22	COPB2	0.5581395348837209
ZNF587	ZNF814	0.5357142857142857
RANGRF	SLC25A35	0.5421686746987951
OGG1	CAMK1	0.5853658536585366
CHRNA5	CHRNA3	0.4074074074074074
RABEP1	NUP88	0.43209876543209874
LRTOMT	TOMT	0.6794871794871795
SNRPF	CCDC38	0.36
RAB3GAP1	ZRANB3	0.5205479452054794
C2	ZBTB12	0.6301369863013698
MTHFD1	ZBTB25	0.5833333333333334
UTP23	RAD21	0.4722222222222222
GET1	LCA5L	0.4647887323943662
PRSS23	FZD4	0.45714285714285713
OPRM1	IPCEF1	0.5294117647058824
RINT1	EFCAB10	0.44776119402985076
WFDC13	WFDC10B	0.46153846153846156
SEMA4G	MRPL43	0.6666666666666666
KRT18	KRT8	0.6129032258064516
NDE1	MYH11	0.5573770491803278
