Gene stable ID,Gene name,Mouse gene stable ID,Mouse gene name,Last common ancestor with Mouse,Mouse homology type,%id. target Mouse gene identical to query gene,%id. query gene identical to target Mouse gene,Mouse Gene-order conservation score,Mouse Whole-genome alignment coverage,"Mouse orthology confidence [0 low, 1 high]"
ENSG00000198888,MT-ND1,ENSMUSG00000064341,mt-Nd1,Euarchontoglires,ortholog_one2one,77.044,77.044,50,100.00,1
ENSG00000198763,MT-ND2,ENSMUSG00000064345,mt-Nd2,Euarchontoglires,ortholog_one2one,57.0605,57.3913,75,100.00,1
ENSG00000198804,MT-CO1,ENSMUSG00000064351,mt-Co1,Eutheria,ortholog_one2one,90.8382,90.6615,100,100.00,1
ENSG00000198712,MT-CO2,ENSMUSG00000064354,mt-Co2,Mammalia,ortholog_one2one,71.3656,71.3656,100,100.00,1
ENSG00000228253,MT-ATP8,ENSMUSG00000064356,mt-Atp8,Euarchontoglires,ortholog_one2one,45.5882,46.2687,100,100.00,0
ENSG00000198899,MT-ATP6,ENSMUSG00000064357,mt-Atp6,Eutheria,ortholog_one2one,75.6637,75.6637,100,100.00,1
ENSG00000198938,MT-CO3,ENSMUSG00000064358,mt-Co3,Eutheria,ortholog_one2one,86.9732,86.9732,100,100.00,1
ENSG00000198840,MT-ND3,ENSMUSG00000064360,mt-Nd3,Eutheria,ortholog_one2one,66.087,66.087,100,100.00,1
ENSG00000212907,MT-ND4L,ENSMUSG00000065947,mt-Nd4l,Euarchontoglires,ortholog_one2one,66.3265,66.3265,100,100.00,1
ENSG00000198886,MT-ND4,ENSMUSG00000064363,mt-Nd4,Eutheria,ortholog_one2one,66.8845,66.8845,100,100.00,1
ENSG00000198786,MT-ND5,ENSMUSG00000064367,mt-Nd5,Eutheria,ortholog_one2one,63.8474,63.4267,100,100.00,1
ENSG00000198695,MT-ND6,ENSMUSG00000064368,mt-Nd6,Euarchontoglires,ortholog_one2one,52.2989,52.907,75,100.00,1
ENSG00000198727,MT-CYB,ENSMUSG00000064370,mt-Cytb,Eutheria,ortholog_one2one,77.8947,77.6903,50,100.00,1
ENSG00000278457,5S_rRNA,ENSMUSG00002076757,5S_rRNA,Sarcopterygii,ortholog_one2many,65.5462,74.2857,,0.00,0
ENSG00000277196,,ENSMUSG00000003526,Prodh,Euarchontoglires,ortholog_one2many,81.8333,81.9699,25,100.00,1
ENSG00000278817,,ENSMUSG00000003531,Dgcr6,Euarchontoglires,ortholog_one2many,83.1818,78.5408,25,100.00,1
